RouteCode,RouteStart,RouteEnd,llm_generated
6224VP1,ALUMINIO (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra ir de aluminio para sorocaba?"
6225,ITU (TERMINAL CIDADE NOVA - PIRAPITINGUI),SAO ROQUE (CATARINA FASHION OUTLET),como eu faco pra ir do terminal cidade nova - pirapitingui ate saeroque?
6225EX1,ARACARIGUAMA (CENTRO),ITU (TERMINAL CIDADE NOVA - PIRAPITINGUI),como eu faco pra chegar no terminal cidade nova - pirapitingui saindo de aracariguama?
6226,ITU (TERMINAL CIDADE NOVA - PIRAPITINGUI),MAIRINQUE (BAIRRO SAO JOSE),como eu faco pra sair do terminal cidade nova - pirapitingui e ir pra miranque?
622EX1,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (RODOTERMINAL DE STA BARBARA D OESTE),como eu faco pra chegar na santa barbara d esterea saindo do terminal rodoviario francisco luiz bendil?
623,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (CIDADE NOVA),"oi, como eu faco pra chegar no terminal rodoviario francisco luiz bendilatti em santa barbara d oeste?"
624,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (JARDIM EUROPA),"oi, como eu faco pra sair do terminal rodoviario francisco luiz bendil ate santa barbara d oeste?"
624DV1,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (JARDIM EUROPA),"oi, como eu faco pra chegar na santa barbara d oeste saindo do terminal rodoviario francisco luiz bendilatti?"
625,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (JARDIM EUROPA),"como eu faco pra chegar na santa barbara d. este de trem, preciso saber como chegar de americana?"
626,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (JARDIM EUROPA),como eu faco pra chegar na santa barbara d oeste a partir do terminal metropolitano de america?
627,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (RODOTERMINAL DE STA BARBARA D OESTE),como eu faco pra pegar o trem metropolitano de americana e ir ate a rodoterminal de santa barbara d'este?
628,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (RODOTERMINAL DE STA BARBARA D OESTE),como eu faco pra chegar na santa barbara d este do trem?
629,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (SAO JOAQUIM),como eu faco pra chegar na santa barbara d oeste saindo da americana?
629EX1,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (SAO JOAQUIM),"oi, como eu faco pra ir do terminal rodoviario francisco luiz bendilatti ate santa barbara d oeste?"
630,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (SAO JOAQUIM),"oi, como eu faco pra sair da americana (terminal rodoviario francisco luito bendilatti) e chegar em santa barbara d oeste?"
6301,PILAR DO SUL (BAIRRO CAMPO GRANDE),PIEDADE (CENTRO),"oi, como eu faco pra ir do pilao do sul ate piedade?"
6302,TAPIRAI (CENTRO),PIEDADE (CENTRO),"oi, como eu faco pra pegar um onibus saindo de tapirai e ir ate a pedra do sal?"
6303,PIEDADE (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra ir de piedade ate sorocaba?"
6305,VOTORANTIM (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra chegar de votorantim ate sorocaba?"
6306,PIEDADE (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra chegar em sorocaba partindo da pedra bonita?"
6307,VOTORANTIM (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra chegar no centro de votorantim em sorocaba?"
6307DV1,VOTORANTIM (CENTRO),SOROCABA (CENTRO),"oi, to em votorantim (centro) e quero saber como chegar em sorocaba (centro)."
6308,VOTORANTIM (CENTRO),SOROCABA (CENTRO),"oi, to em votorantim (centro) e quero saber como chegar em sorocaba (centro)."
6308DV1,VOTORANTIM (CENTRO),SOROCABA (CENTRO),como eu faco pra ir de votorantim (centro) em sorocaba?
6309,VOTORANTIM (JARDIM FORTALEZA),SOROCABA (CENTRO),"oi, como eu faco pra chegar em sorocaba saindo de votorantim?"
631,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (VILA RICA),como eu faco pra chegar na vila barba de oeste saindo do terminal rodoviario francisco luiz bendilatti?
6310,VOTORANTIM (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra chegar em sorocaba partindo de votorantim?"
6311,VOTORANTIM (VILA NOVA),SOROCABA (CENTRO),"oi, to em vila nova e quero saber como chegar no centro ate sorocaba."
6312,VOTORANTIM (CENTRO),SOROCABA (CENTRO),"oi, to em votorantim e quero saber como chego em sorocaba."
6314,SALTO DE PIRAPORA (BAIRRO CAMPO LARGO),SOROCABA (CENTRO),"oi, como eu faco pra chegar em sorocaba partindo do campo largo?"
6315,SALTO DE PIRAPORA (CAMPO LARGO),SOROCABA (CENTRO),"oi, como eu faco pra chegar de salto de pirapora (campo largo) em sorocaba?"
6315VP1,SALTO DE PIRAPORA (JARDIM PRIMAVERA),SOROCABA (CENTRO),"oi, como eu faco pra chegar do jardim primavera em sorocaba?"
6316,SALTO DE PIRAPORA (CAMPO LARGO),SOROCABA (CENTRO),"oi, como eu faco pra chegar em sorocaba saindo de campo largo?"
6316VP1,SALTO DE PIRAPORA (JARDIM PRIMAVERA),SOROCABA (CENTRO),"oi, como eu faco pra chegar de salto de pirapora (jardim primavera) em sorocaba?"
6317,SALTO DE PIRAPORA (CAMPO LARGO),SOROCABA (CENTRO),"oi, como eu faco pra chegar em sorocaba partindo de salto de pirapora (campo largo)?"
632,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (VILA RICA),"oi, como eu faco pra ir da terminal rodoviario francisco luico luiz bendilatti ate santa barbara d oeste?"
6320,ARACOIABA DA SERRA (MARIA PAULA ESPOSITO),SOROCABA (CENTRO),como eu faco pra ir de aracoiaba da serra ate sorocaba?
6320BI1,ARACOIABA DA SERRA (BAIRRO FARIAS),SOROCABA (CENTRO),como eu faco pra ir de aracoiaba da serra (bairro farias) para sorocaba?
6320DV1,ARACOIABA DA SERRA (MARIA PAULA ESPOSITO),SOROCABA (CENTRO),"oi, como eu faco pra ir de aracoiaba da serra ate sorocaba?"
6321,ARACOIABA DA SERRA (MARIA PAULA ESPOSITO),SOROCABA (CENTRO),como eu faco pra ir de aracoiaba da serra ate sorocaba?
6322,IPERO (JARDIM VITORINO),BOITUVA (CENTRO),como eu faco pra ir do ipero (jardim vitorino) ate boituva?
6323,IPERO (CENTRO),TATUI (CENTRO),"oi, como eu faco pra ir do ipero em tatui?"
6324,IPERO (CENTRO),SOROCABA (BAIRRO BOM JESUS),"oi, como eu faco pra ir do ipero ate a sorocaba?"
6325,IPERO (CENTRO),SOROCABA (CENTRO),preciso saber como chegar do ipero ate a sorocaba.
6326,IPERO (PRESIDIO ODON RAMOS MARANHAO),SOROCABA (CENTRO),como eu faco pra ir do ipero (presidio odon ramos maranhao) em direcao a sorocaba?
6327,IPERO (VILA DO DEPOSITO),BOITUVA (CENTRO),como eu faco pra chegar do ipero ate o boituva?
6328,IPERO (PRESIDIO ODON RAMOS MARANHAO),BOITUVA (CENTRO),"oi, como eu faco pra ir de ipero (presidio odon ramos maranhao) ate boituva?"
6329,PIEDADE (CENTRO),SOROCABA (TERMINAL RODOVIARIO DE SOROCABA),"oi, como eu faco pra chegar em sorocaba saindo de centro?"
633,SANTA BARBARA D OESTE (RODOTERMINAL DE SANTA BARBARA D OESTE),CAMPINAS (TERMINAL MULTIMODAL RAMOS DE AZEVEDO),"oi, como eu faco pra ir de santa barbara d este ate campos?"
6330,IPERO (GEORGE OETTERER),SOROCABA (CENTRO),como eu faco pra ir de ipero ate sorocaba?
6330PR1,IPERO (G. OETTERER - INDUSTRIA DE ARTEFATOS),SOROCABA (CENTRO),"oi, como eu faco pra chegar no sorocaba saindo do ipero?"
6333,SAO MIGUEL ARCANJO (TERMINAL RODOVIARIO BENTO FRANCA),SOROCABA (TERMINAL RODOVIARIO DE SOROCABA),"oi, como eu faco pra ir do terminal rodoaviario bento franco ate sorocaba?"
6334,SAO MIGUEL ARCANJO (TERMINAL RODOVIARIO BENTO FRANCA),SOROCABA (TERMINAL RODOVIARIO DE SOROCABA),"oi, como eu faco pra ir do terminal rodoaviario bento franca pra sorocaba?"
6335,ARACOIABA DA SERRA (CERCADO),SOROCABA (CENTRO),como eu faco pra chegar em sorocaba saindo de araucuba da serra?
6338,PIEDADE (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra chegar em sorocaba partindo de piedade?"
6339,SAO MIGUEL ARCANJO (CENTRO),ITAPETININGA (CENTRO),como eu faco pra chegar em itapetinga saindo de sao miguel arcanjo?
633VP1,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),CAMPINAS (TERMINAL MULTIMODAL RAMOS DE AZEVEDO),"oi, como eu faco pra chegar na campina, indo do metro da americana?"
634,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),NOVA ODESSA (JARDIM SANTA ROSA),"oi, como eu faco pra chegar de americana (terminal rodoviario francisco luiz bendilatti) em jardim santa rosa?"
6340,SAO MIGUEL ARCANJO (CENTRO),ITAPETININGA (CENTRO),"oi, como eu faco pra ir de sao miguel arcanjo centro pra itapetininga centro?"
635,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),CAMPINAS (TERMINAL MULTIMODAL RAMOS DE AZEVEDO),"como eu faco pra chegar na campina, saindo do terminal rodoviario francisco luiz bendil?"
636,SUMARE (TERMINAL RODOVIARIO DE SUMARE),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra sair do sumare e ir pra campinas?"
636EX1,NOVA ODESSA (ESTACAO RODOVIARIA DONA CATHARINA FERNANDEZ WELSH),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas saindo de nova odessa?"
636PR1,SUMARE (JD. JOAO PAULO II),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra sair do sumare e chegar no terminal metropolitano prefeito joao paulo ii?"
636PR2,SUMARE (JARDIM MACARENKO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),como eu faco pra chegar do sumare no terminal metropolieta governador em campinas?
637,SUMARE (JARDIM LUCELIA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),como eu faco pra chegar de sumare em campinas?
638,SUMARE (JARDIM JOAO PAULO II),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, tudo bem? to em sumare (jardim joao paulo ii) e quero saber como chegar em campinas (terminal metropolitano prefeitor magalhaes teixeira)."
639,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SUMARE (TERMINAL RODOVIARIO DE SUMARE),"oi, como eu faco pra chegar no terminal rodoviario francisco luiz bendilatti em sumare?"
640,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SUMARE (JARDIM RESIDENCIAL BORDON),"oi, como eu faco pra chegar no terminal rodoviario francisco luiz bendil e depois no jardim residencial gordon?"
640EX1,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SUMARE (JARDIM RESIDENCIAL BORDON),"oi, como eu faco pra chegar no terminal rodoviario francisco luiz bendil e depois no jardim residencial borao?"
642,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),CAMPINAS (UNICAMP),como eu faco pra chegar do terminal rodoviario francisco luiz bendilatti em campinas?
644,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SUMARE (TERMINAL RODOVIARIO DE SUMARE),"oi, como eu faco pra chegar de americana ate o terminal rodoviario de sumare?"
647,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),NOVA ODESSA (JARDIM DAS PALMEIRAS),"oi, como eu faco pra sair da americana (terminal rodoviario francisco luico) em direcao a nova odsa?"
649,PAULINIA (CONJUNTO HABITACIONAL TEREZA Z. VEDOVELO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas, saindo de paulinia?"
649EX1,SUMARE (JARDIM NOVA TERRA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),como eu faco pra ir do sumare ate o terminal metropolitano presidente magalhaes teixeira?
651,SUMARE (RESIDENCIAL REAL PARQUE),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, to em sumare e quero saber como chegar na campina, que fica perto do metro?"
652,SUMARE (JARDIM JOAO PAULO II),CAMPINAS (UNICAMP),"como eu faco pra ir do sumare (jardim jopaulo ii) em direcao a campinas, no unicamp?"
652EX1,SUMARE (JARDIM DALL ORTO),CAMPINAS (UNICAMP),"oi, como eu faco pra ir do sumare ate a campinas, passando pelo unicamp?"
652EX2,SUMARE (JARDIM DALL ORTO),CAMPINAS (CAMPINAS SHOPPING IGUATEMI),"oi, como eu faco pra ir de sumare ate campinas?"
653,SUMARE (TERMINAL RODOVIARIO DE SUMARE),CAMPINAS (UNICAMP),como eu faco pra chegar no unicamp a partir do terminal rodoviar de sumare?
654,SUMARE (TERMINAL RODOVIARIO DE SUMARE),CAMPINAS (SHOPPING IGUATEMI),como eu faco pra chegar do sumare em shopping iguatemi?
654BI1,SUMARE (PARQUE RESIDENCIAL IPIRANGA),CAMPINAS (SHOPPING IGUATEMI),como eu faco pra chegar no shopping iguatemi do sumare?
655,SUMARE (TERMINAL RODOVIARIO DE SUMARE),CAMPINAS (SHOPPING IGUATEMI),como eu faco pra chegar no shopping iguatemi saindo do terminal rodoviario de sumare?
655DV1,SUMARE (TERMINAL RODOVIARIO DE SUMARE),CAMPINAS (SHOPPING IGUATEMI),como eu faco pra chegar no shopping iguatemi saindo do terminal rodoaviario de sumare?
655PR1,SUMARE (JARDIM JOAO PAULO II),CAMPINAS (SHOPPING IGUATEMI),como eu faco pra ir de sumare (jardim joao paulo ii) ate shopping iguatemi?
657,SUMARE (PARQUE IDEAL),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),como eu faco pra ir do parque ideal pra campinas?
658,SUMARE (ESTACAO DE TRANSFERENCIA KM 110 - JARDIM MARIA ANTONIA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),como eu faco pra ir do sumare (estacao de transferencia km 110 - jardim maria antonia) em direcao a campinas (terminal metropolitano prefeito magalhaes teixeira)?
659,SUMARE (PARQUE RESIDENCIAL IPIRANGA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar no terminal metropolitano presidente dos ministros do ato, saindo de sumare?"
660,SUMARE (JARDIM SAO GERONIMO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar no terminal metropolitano sao jose do rio grande do sul da sumare (jardim sao geronimo)?"
661,PAULINIA (CONJUNTO HABITACIONAL TEREZA Z. VEDOVELO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"como eu faco pra chegar em campinas, saindo do conjunto habitacional tereza z. vedevelo?"
662,SUMARE (JARDIM SAO GERONIMO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, tudo bem? preciso saber como chego de sumare (jardim sao geronimo) ate o terminal metropolitano presidente teixeira, ne?"
663,SUMARE (PARQUE RESIDENCIAL SALERNO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),como eu faco pra ir de sumare ate o campinas?
664,PAULINIA (CONJUNTO HABITACIONAL TEREZA Z. VEDOVELO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas saindo de paulinia?"
666,SUMARE (TERMINAL RODOVIARIO DE SUMARE),PAULINIA (CENTRO),como eu faco pra chegar de sumare em paulina?
668,SUMARE (TERMINAL RODOVIARIO DE SUMARE),HORTOLANDIA (ROSOLEM),"oi, como eu faco pra chegar de sumare ate o rosolem?"
673,SANTO ANTONIO DE POSSE (CENTRO),HOLAMBRA (CENTRO),"oi, como eu faco pra ir de santo antonio de posecao para holambra?"
673EX1,SANTO ANTONIO DE POSSE (CENTRO),HOLAMBRA (CENTRO),"oi, como eu faco pra chegar em holambra saindo de santo antonio de pose?"
673EX2,SANTO ANTONIO DE POSSE (CENTRO),HOLAMBRA (CENTRO),"oi, como eu faco pra chegar em holambra do centro?"
674,VINHEDO (CAPELA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),como eu faco pra ir de vinhedo para o terminal metropolitano prefeito caetano teixeira?
674VP1,VINHEDO (CAPELA),VALINHOS (TERMINAL RODOVIARIO MARIO ROLIM TELLES),como eu faco pra chegar em valinhos saindo da capela?
674VP2,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas saindo do terminal rodoviario de vinhedo?"
675,VALINHOS (TERMINAL RODOVIARIO MARIO ROLIM TELLES),CAMPINAS (CENTRO),"oi, como eu faco pra chegar de valinhos (terminal rodoviario mario rolim telles) em campinas (centro)?"
676,VALINHOS (JARDIM DO LAGO),CAMPINAS (CENTRO),"oi, como eu faco pra chegar em campinas saindo de valinhos?"
677,VALINHOS (PARQUE DAS COLINAS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas daqui de valinhos?"
677DV1,VALINHOS (PARQUE DAS COLINAS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas a partir de valinhos?"
678,VALINHOS (TERMINAL RODOVIARIO MARIO ROLIM TELLES),CAMPINAS (ESCOLA DE CADETES),"oi, como eu faco pra chegar em campinas saindo do terminal rodoaviario mario rolim teles?"
679,VALINHOS (PARQUE DAS FIGUEIRAS),CAMPINAS (TREVO DA BOSCH),como eu faco pra chegar no parque das figuras saindo de valinhos?
680,VALINHOS (PARQUE DAS FIGUEIRAS),CAMPINAS (TREVO DA BOSCH),"oi, como eu faco pra chegar no parque das figuras, saindo de valinho?"
680VP1,VALINHOS (TERMINAL RODOVIARIO MARIO ROLIM TELLES),CAMPINAS (TREVO DA BOSCH),"oi, como eu faco pra chegar em campinas saindo do terminal rodoaviario mario rolim terrelles?"
683,VALINHOS (JARDIM SAO LUIZ),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, to meio perdido aqui. como eu faco pra ir de valinhos (jardim sao luiz) ate campinas (terminal metropolitano prefeito magalhaes teixeira)?"
685,VALINHOS (TERMINAL RODOVIARIO MARIO ROLIM TELLES),VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),"oi, como eu faco pra chegar em vinhoedo saindo do terminal rodoaviario mario rolim."
686,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (JARDIM SAO DOMINGOS),como eu faco pra sair do terminal rodoviario de vinhedo e ir para jardim sao domingos?
686BI1,VINHEDO (CAPELA),CAMPINAS (JARDIM SAO DOMINGOS),como eu faco pra ir de vinhedo (capela) para jardim sao domingos?
687,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (AEROPORTO INTERNACIONAL DE VIRACOPOS),como eu faco pra ir do terminal rodooviario de vinhedo pra aeroporto internacional de viracoropolis?
687EX1,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (JARDIM CAMPO BELO),"oi, como eu faco pra chegar no jardim campo belo saindo do terminal rodoaviario de vinhedo?"
687EX2,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (JARDIM CAMPO BELO),como eu faco pra chegar no terminal rodoaviario de vinhedo e depois no jardim campo belo?
688,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),como eu faco pra chegar do terminal rodoaviario de vinhedo na central metropolitana de campos?
688BI1,VINHEDO (CAPELA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, tudo bem? preciso saber como chego de vinhedo (capela) em campinas (metropolitano prefeito magalhaes teixeira)?"
689,VALINHOS (TERMINAL RODOVIARIO MARIO ROLIM TELLES),VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),"oi, como eu faco pra chegar do terminal rodoaviario mario rolim antes em vinho?"
693,ARTUR NOGUEIRA (CORACAO CRIANCA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas, partindo do artur nogueira?"
694,HORTOLANDIA (BOA ESPERANCA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas?"
825,SAO PAULO (SAO MIGUEL PAULISTA),GUARULHOS (CENTRO),"oi, como eu faco pra chegar em guarulhos saindo de sao paulo (sao paulo)?"
695,HORTOLANDIA (JARDIM SANTIAGO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas?"
696,HORTOLANDIA (PARQUE DO HORTO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas saindo da hortolandia?"
697,HORTOLANDIA (TERMINAL METROPOLITANO HORTOLANDIA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),preciso saber como chegar do terminal metropolitano hortolandia ate o terminal metropolitano presidente teixeira.
698,HORTOLANDIA (TERMINAL METROPOLITANO HORTOLANDIA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra ir do terminal metropolitano hortolandia ate o terminal prefeito teixeira?"
699,HORTOLANDIA (NOVA HORTOLANDIA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas, saindo da hortolandia?"
699BI1,HORTOLANDIA (PARQUE DOS PINHEIROS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, tudo bem? to em parque dos pinheiros e quero saber como chegar no terminal metro teixeira."
700,HORTOLANDIA (JARDIM AMANDA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas saindo do jardim amanda?"
701,HORTOLANDIA (JARDIM AMANDA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas saindo de hortolandia?"
702,HORTOLANDIA (PARQUE ORESTE ONGARO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar no parque orestes ongaro e depois no terminal metropolitano teixeira?"
703,HORTOLANDIA (JARDIM NOVO CAMBUI),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas saindo de hortolandia?"
703BI1,HORTOLANDIA (JARDIM SANTA FE),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas partindo do jardim santa fe?"
704,HORTOLANDIA (SUMAREZINHO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra sair do sumarezinho e chegar no terminal metropolitano presidente campos do espirito santo?"
705,HORTOLANDIA (JARDIM ROSOLEM),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra ir do jardim rosolem ate o metro teixeire?"
706,HORTOLANDIA (CHACARA ASSAY),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em terminal metropolitano presidente temosheu da chacara assay?"
707,HORTOLANDIA (JARDIM NOVA AMERICA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, tudo bem? to em hortolandia e quero saber como chegar em campinas (terminal metropolitano prefeito magalhaes teixeira)."
708,MONTE MOR (TERMINAL RODOVIARIO VEREADOR GERALDO BENINI),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar no terminal rodoviario geraldo benini de la?"
708BI1,MONTE MOR (JARDIM SAO SEBASTIAO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar do jardim sao sebastiao em campinas?"
708BI2,MONTE MOR (JARDIM PAULISTA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas saindo de monte mor?"
709,MONTE MOR (TERMINAL RODOVIARIO DE MONTE MOR),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas a partir do terminal rodoviario de monte mor?"
709EX1,MONTE MOR (JARDIM CAPUAVINHA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas, comecando aqui em jardim capuavinha?"
714,JAGUARIUNA (DISTRITO INDUSTRIAL),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"como eu faco pra ir do jaguariuna (distrito industrial) em campinas, pelo metro?"
715,JAGUARIUNA (JOAO NASSIF),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas saindo de jaguariuna?"
719,JAGUARIUNA (TERMINAL RODOVIARIO DE JAGUARIUNA),SANTO ANTONIO DE POSSE (CENTRO),como eu faco pra chegar no terminal rodoviario de jaguaru em santo antonio de pose?
724,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (UNICAMP),como eu faco pra ir do terminal rodoaviario de vinhedo ate o unicamp?
727,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (JARDIM CAMPINEIRO),como eu faco pra ir do terminal rodoviario de vinhedo pra jardim campino?
727EX1,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (SHOPPING PARQUE DOM PEDRO I),"oi, preciso saber como chegar no shopping parque dom pedro i a partir do terminal rodoviario de vinho."
734,SANTO ANTONIO DE POSSE (CENTRO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas saindo de santo antonio de posse?"
736,ARTUR NOGUEIRA (CORACAO CRIANCA),HOLAMBRA (CENTRO),"oi, como eu faco pra ir de artur nogueira (coracao crianca) ate centro?"
737,COSMOPOLIS (TERMINAL RODOVIARIO DE COSMOPOLIS),HOLAMBRA (CENTRO),como eu faco pra chegar no terminal rodoviario de cosmopolis ate holambra?
